monument;latitude;longitude;weight
eiffel tower;48.8584;2.2945;201433
louvre museum;48.8606;2.3376;177105
notre dame;48.8530;2.3499;42060
arc de triomphe;48.8738;2.2950;123933
sacre coeur;48.8867;2.3431;72946
musee dorsay;48.8600;2.3266;45417
montmartre;48.8862;2.3431;2086
tuileries gardens;48.8635;2.3275;57996
moulin rouge;48.8841;2.3323;7088
centre pompidou;48.8606;2.3522;65947
place de la concorde;48.8656;2.3212;38485
luxembourg gardens;48.8462;2.3372;40294
sainte chapelle;48.8554; 2.3450;21357
